,label,start,end,context,text,source,article_id
20,Loaded_Language,604,636,"And then remember how the pope had apologised-except-not-really because the accusations are, after all, still lies, and that there’s still “no evidence” against Barros…?",had apologised-except-not-really,train,729578579
21,Doubt,645,742,"And then remember how the pope had apologised-except-not-really because the accusations are, after all, still lies, and that there’s still “no evidence” against Barros…?","the accusations are, after all, still lies, and that there’s still “no evidence” against Barros…?",train,729578579
22,Loaded_Language,1090,1106,"Nicole Winfield and the Associated Press dropped the bomb that the information came directly from the victims, whom Francis had dismissed and refused to meet with on his trip, and delivered through his own Commission on sexual abuse:",dropped the bomb,train,729578579
23,Doubt,1794,1861,"It also calls into question his stated empathy with abuse survivors, compounding the most serious crisis of his five-year papacy.",It also calls into question his stated empathy with abuse survivors,train,729578579
24,Appeal_to_Authority,3538,3671,"I am the pope, I do not need to give reasons for any of my decisions.
I have decided that they have to leave and they have to leave.”","I am the pope, I do not need to give reasons for any of my decisions.
I have decided that they have to leave and they have to leave.”",train,729578579
25,Repetition,6046,6058,"And at a later date, he assured us that that had been done.” Juan Carlos Cruz, the Karadima victim whose membership on the Commission the Vatican had blocked, told AP, “Cardinal O’Malley called me after the pope’s visit here in Philadelphia and he told me, among other things, that he had given the letter to the pope – in his hands.”",in his hands,train,729578579
26,Thought-terminating_Cliches,6851,6898,"“No evidence…” Lie big, lie often, and when caught, keep lying.","Lie big, lie often, and when caught, keep lying",train,729578579
27,"Name_Calling,Labeling",6929,6946,"One of the many things these secular reporters seem not to be paying attention to is that “no evidence” is in fact a well-rehearsed, stock response for Bergoglio.",secular reporters,train,729578579
28,"Name_Calling,Labeling",7133,7153,He said almost exactly the same in 2013 when confronted about another predatory homosexual he was sheltering.,predatory homosexual,train,729578579
29,Thought-terminating_Cliches,7201,7218,The hoopla surrounding the “Who am I to judge” comment tends to obscure the context of the comment.,Who am I to judge,train,729578579
30,Thought-terminating_Cliches,7731,7744,His standard one: “No evidence.”,No evidence.”,train,729578579
31,Loaded_Language,8306,8314,"They include being caught in flagrante in an elevator with a teenaged male prostitute, and his sexual relationship with a captain in the Swiss army.",flagrant,train,729578579
32,Loaded_Language,8907,8922,"As “Marcantonio Colonna” wrote in the Dictator Pope, “In fact his patronage of Monsignor Ricca fits the pattern which was well established when he was Archbishop of Buenos Aires, whereby he surrounds himself with morally weak people so as to have them under his thumb.”",under his thumb,train,729578579
33,"Exaggeration,Minimisation",9194,9218,"It was at this early “no evidence” comment on the plane home from Rio that some of those paying attention started to understand that Bergoglio’s policy is in line with that of certain leaders of the past who recommended that if a politician was going to lie, he should lie big and lie brazenly.",lie big and lie brazenly,train,729578579
34,Loaded_Language,13378,13403,"Several more similar cases, all of whom were rebuffed in their attempts to meet with Bergoglio, are detailed here, for the strong-of-stomach.",for the strong-of-stomach,train,729578579
35,"Name_Calling,Labeling",13405,13432,A virtuoso performance-liar,A virtuoso performance-liar,train,729578579
36,Loaded_Language,13500,13507,"Looking back and carefully examining his record, Jorge Bergoglio’s mastery of using the weaknesses of morally compromised men is becoming evident.",mastery,train,729578579
37,Loaded_Language,13997,14021,"The first part of that interview is a blatant and enormous lie, and it was from there that the pope moved on to his apology for homosexuality in general.",blatant and enormous lie,train,729578579
38,"Name_Calling,Labeling",14278,14294,"At the time, the papal apologists sprang instantly into action and we heard all about how the pope was talking strictly within the boundaries of Catholic doctrine.",papal apologists,train,729578579
39,Loaded_Language,14627,14644,"(Don’t forget, no question is asked in a papal interview without being thoroughly vetted ahead of time.",thoroughly vetted,train,729578579
40,Loaded_Language,14809,14822,"This was the pope laying out his policy regarding homosexuality, a policy for which he was duly rewarded by being lauded on the cover of the homosexualist lobby’s US trade magazine.",duly rewarded,train,729578579
41,Appeal_to_fear-prejudice,15614,15630,That is a danger.,That is a danger,train,729578579
42,Thought-terminating_Cliches,16495,16517,"If someone is gay and is searching for the Lord and has good will, then who am I to judge him?",who am I to judge him?,train,729578579
43,Thought-terminating_Cliches,16987,17002,"The problem is in making a lobby of this tendency: a lobby of misers, a lobby of politicians, a lobby of masons, so many lobbies.",so many lobbies,train,729578579
44,Loaded_Language,17741,17758,"Language counts in politics, and a pope using that term means he is by implication starting the discussion – and his pontificate – by aligning himself with the basic tenets of a movement that is violently opposed to Catholic moral teaching, and in direct opposition to his immediate, and still living, predecessor.",violently opposed,train,729578579
45,Loaded_Language,18366,18386,"This means that his use of this language was a conspiratorial wink and nod to his immediate audience, a sly message to say, “People talk all the time about a gay lobby, but you and I both know this is mostly nonsense, propaganda from those people… those conservatives…We cool and hip people don’t hate gays, do we?”","nonsense, propaganda",train,729578579
46,Doubt,18426,18473,"This means that his use of this language was a conspiratorial wink and nod to his immediate audience, a sly message to say, “People talk all the time about a gay lobby, but you and I both know this is mostly nonsense, propaganda from those people… those conservatives…We cool and hip people don’t hate gays, do we?”","We cool and hip people don’t hate gays, do we?”",train,729578579
47,"Name_Calling,Labeling",18429,18448,"This means that his use of this language was a conspiratorial wink and nod to his immediate audience, a sly message to say, “People talk all the time about a gay lobby, but you and I both know this is mostly nonsense, propaganda from those people… those conservatives…We cool and hip people don’t hate gays, do we?”",cool and hip people,train,729578579
48,Appeal_to_Authority,18656,18706,"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",We are simply asked to take the pope’s word for it,train,729578579
49,Loaded_Language,18738,18761,"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",astoundingly brazen lie,train,729578579
50,Loaded_Language,18932,18958,"Next, after another little inside nudge-nudge-wink-wink joke about the “gay lobby” – implying (but of course never outright saying) that the whole thing is hysterical nonsense – we hear a direct contradiction to Catholic teaching from no less a source than his predecessor, Pope Benedict Ratzinger.",nudge-nudge-wink-wink joke,train,729578579
51,Loaded_Language,19054,19073,"Next, after another little inside nudge-nudge-wink-wink joke about the “gay lobby” – implying (but of course never outright saying) that the whole thing is hysterical nonsense – we hear a direct contradiction to Catholic teaching from no less a source than his predecessor, Pope Benedict Ratzinger.",hysterical nonsense,train,729578579
52,Loaded_Language,19377,19401,The “tendency” is called in the same catechism you quote “intrinsically disordered” and Ratzinger was very clear that this “tendency” is a sign of a serious emotional dysfunction that “must” preclude a man from being ordained.,intrinsically disordered,train,729578579
53,Loaded_Language,19466,19544,The “tendency” is called in the same catechism you quote “intrinsically disordered” and Ratzinger was very clear that this “tendency” is a sign of a serious emotional dysfunction that “must” preclude a man from being ordained.,a serious emotional dysfunction that “must” preclude a man from being ordained,train,729578579
54,Loaded_Language,19546,19578,Squandering the capital of trust,Squandering the capital of trust,train,729578579
55,Loaded_Language,21304,21337,"Considering how much trust the Catholic faithful had in the papacy until about 1965, how much un-earned trust Francis started with just by being elected, this pontificate should be remembered as one of the great confidence scams in history.",one of the great confidence scams,train,729578579
56,Loaded_Language,21375,21389,Believing Catholics have watched aghast as this pope has habitually trampled on every aspect of Catholic teaching.,watched aghast,train,729578579
57,Loaded_Language,21538,21553,"Sandro Magister recently published a piece on his website that listed in dizzying detail the many times, in only the last few months, that pope Francis has falsified with obvious intention, the words of Christ in Scripture and the teaching of the Church.",dizzying detail,train,729578579
58,"Name_Calling,Labeling",21766,21785,"Of course this would be of little interest to secular journalists, who have paid no mind to his habit of rewriting Catholicism, but the sex abuse crisis is something secular journalists are very interested in, a fact Bergoglio seems not to have understood.",secular journalists,train,729578579
59,Repetition,21886,21905,"Of course this would be of little interest to secular journalists, who have paid no mind to his habit of rewriting Catholicism, but the sex abuse crisis is something secular journalists are very interested in, a fact Bergoglio seems not to have understood.",secular journalists,train,729578579
60,"Name_Calling,Labeling",22024,22037,"It is now irrefutable that Pope Bergoglio is a habitual liar – that in fact truth, like reality, seems to mean nothing to him except as a tool.",habitual liar,train,729578579
61,Appeal_to_fear-prejudice,22303,22521,"They warn that the general loss of trust in institutions leads to a general state of chaos, in which laws on the books matter little as citizens turn to their last resort of protecting themselves and their own families.","They warn that the general loss of trust in institutions leads to a general state of chaos, in which laws on the books matter little as citizens turn to their last resort of protecting themselves and their own families",train,729578579
62,"Name_Calling,Labeling",22719,22752,"With a professional confidence trickster on the papal throne, blatantly using lies and manipulation to maintain power and ram through an agenda at radical variance with Catholic doctrine, how long before that predictable disintegration occurs?",professional confidence trickster,train,729578579
63,Loaded_Language,22774,22811,"With a professional confidence trickster on the papal throne, blatantly using lies and manipulation to maintain power and ram through an agenda at radical variance with Catholic doctrine, how long before that predictable disintegration occurs?",blatantly using lies and manipulation,train,729578579
64,Appeal_to_fear-prejudice,23321,23414,"I have seen a veritable chorus of Catholics on social media declaring that if Paul VI is canonised, their loss of faith in the Church as an institution will be complete.","if Paul VI is canonised, their loss of faith in the Church as an institution will be complete",train,729578579
65,Loaded_Language,23700,23714,"He has no more resources of trust even among the people he has chosen to surround himself with and after the reports of Cardinal Sandri going toe-to-toe with him in a shouting match, it seems that perhaps even his legendary vicious temper tantrums are failing to have the desired effect of terrorising his subordinates into submission.",shouting match,train,729578579
66,Loaded_Language,23757,23780,"He has no more resources of trust even among the people he has chosen to surround himself with and after the reports of Cardinal Sandri going toe-to-toe with him in a shouting match, it seems that perhaps even his legendary vicious temper tantrums are failing to have the desired effect of terrorising his subordinates into submission.",vicious temper tantrums,train,729578579
67,Loaded_Language,23823,23867,"He has no more resources of trust even among the people he has chosen to surround himself with and after the reports of Cardinal Sandri going toe-to-toe with him in a shouting match, it seems that perhaps even his legendary vicious temper tantrums are failing to have the desired effect of terrorising his subordinates into submission.",terrorising his subordinates into submission,train,729578579
68,Loaded_Language,24443,24488,"It may seem like a moment to enjoy, seeing the apparently unbreachable shell of papal teflon finally cracking, but in reality this situation is potentially very harmful for souls in the long run.",apparently unbreachable shell of papal teflon,train,729578579
69,Loaded_Language,24898,24905,"Already fractured since the collapse of all Catholic institutions after Vatican II and the horrors of the sex abuse crisis, how much will there be to repair of the once-steadfast trust Catholics instinctively had in the Church after this?",horrors,train,729578579
70,Loaded_Language,25127,25146,This is slander and calumny.,slander and calumny,train,729578579
71,Doubt,26581,26625,[6] Not that anyone in Rome was trying very hard.,Not that anyone in Rome was trying very hard,train,729578579
72,Causal_Oversimplification,71,171,"Despite Israel's repeated warnings, Barack Obama's reckless appeasement of the Iranian regime has enabled its rise as a hegemonic threat in the Middle East region as well as a threat to international peace and security.",Barack Obama's reckless appeasement of the Iranian regime has enabled its rise as a hegemonic threat,train,694356862
73,Loaded_Language,86,106,"Despite Israel's repeated warnings, Barack Obama's reckless appeasement of the Iranian regime has enabled its rise as a hegemonic threat in the Middle East region as well as a threat to international peace and security.",reckless appeasement,train,694356862
74,"Exaggeration,Minimisation",270,311,"In 2009, Obama turned his back on millions of dissidents in the streets of Tehran and other Iranian cities, who were peacefully protesting the rigged election of Mahmoud Ahmadinejad as president.",turned his back on millions of dissidents,train,694356862
75,Causal_Oversimplification,532,574,"In 2011, Obama precipitously removed the remaining U.S. combat troops from Iraq, giving rise to ISIS’s re-emergence in Iraq from its bases in Syria.",giving rise to ISIS’s re-emergence in Iraq,train,694356862
76,"Exaggeration,Minimisation",713,795,"The radical Shiite Iranian regime purported to come to the “rescue” of both countries from the Sunni terrorists, turning Iraq into a virtual vassal state of the largest state sponsor of terrorism in the process.",turning Iraq into a virtual vassal state of the largest state sponsor of terrorism,train,694356862
77,Loaded_Language,733,747,"The radical Shiite Iranian regime purported to come to the “rescue” of both countries from the Sunni terrorists, turning Iraq into a virtual vassal state of the largest state sponsor of terrorism in the process.",virtual vassal,train,694356862
78,Loaded_Language,820,830,"Obama's disastrous nuclear deal with Iran legitimized Iran's path to eventually becoming a nuclear-armed state, while immediately filling its coffers with billions of dollars to fund its aggression.",disastrous,train,694356862
79,Causal_Oversimplification,854,922,"Obama's disastrous nuclear deal with Iran legitimized Iran's path to eventually becoming a nuclear-armed state, while immediately filling its coffers with billions of dollars to fund its aggression.",legitimized Iran's path to eventually becoming a nuclear-armed state,train,694356862
80,Loaded_Language,2378,2399,“It’s a new monster.”,“It’s a new monster.”,train,694356862
81,Flag-Waving,2754,2768,"Despite the fact that Hezbollah has American blood on its hands, the U.S.-led coalition has chosen not to do anything about Hezbollah’s presence in Syria, bought and paid for by Iran.",American blood,train,694356862
82,Loaded_Language,4680,4691,President Trump’s sharp denunciation of the Iranian regime during his address to the UN General Assembly represented a welcome departure from the Obama administration’s milquetoast approach to Iran.,milquetoast,train,694356862
83,Appeal_to_fear-prejudice,5069,5184,"McMaster said that the “so called liberation of areas by Assad’s forces and Iranian proxies could actually accelerate the cycle of violence and perpetuate conflict rather than get us to a sustainable outcome.” He claimed that the Trump administration’s “objectives are to weaken Iranian influence across the region broadly,” without discussing the means to accomplish those objectives.",could actually accelerate the cycle of violence and perpetuate conflict rather than get us to a sustainable outcome,train,694356862
84,Doubt,5363,5430,Whether the Trump administration follows through remains to be seen.,Whether the Trump administration follows through remains to be seen,train,694356862
85,Loaded_Language,70,77,"The bizarre “sonic attacks” against diplomats began in Cuba, but have now spread to other countries with over 200 illnesses reported.",bizarre,train,770581969
86,Repetition,78,93,"The bizarre “sonic attacks” against diplomats began in Cuba, but have now spread to other countries with over 200 illnesses reported.",“sonic attacks”,train,770581969
87,Repetition,1041,1054,"The bizarre “sonic attacks” against diplomats began in Cuba, but have now spread to other countries with over 200 illnesses reported.",sonic attacks,train,770581969
88,Repetition,1290,1305,"The bizarre “sonic attacks” against diplomats began in Cuba, but have now spread to other countries with over 200 illnesses reported.",“sonic attacks”,train,770581969
89,Loaded_Language,14,25,Jeff Sessions lashes back at Trump,lashes back,train,781577820
90,Doubt,163,190,"WASHINGTON — Attorney General Jeff Sessions has a message for Donald Trump: You’re wrong, Mr. President.","You’re wrong, Mr. President",train,781577820
91,"Name_Calling,Labeling",215,246,"Sessions long has been one of Trump’s favorite pinatas, often taking the brunt of the president’s public scorn.",one of Trump’s favorite pinatas,train,781577820
92,Loaded_Language,274,302,"Sessions long has been one of Trump’s favorite pinatas, often taking the brunt of the president’s public scorn.",the president’s public scorn,train,781577820
93,Doubt,470,494,Trump offered this assessment of his hand-picked attorney general recusing himself from the Justice Department’s special counsel probe of Russian election meddling: “What kind of man is this?”,What kind of man is this,train,781577820
94,Loaded_Language,554,561,"Trump, in an interview that aired Thursday morning, also blasted Sessions because, he said, the former Alabama senator “never took control of the Justice Department.”",blasted,train,781577820
95,Doubt,589,661,"Trump, in an interview that aired Thursday morning, also blasted Sessions because, he said, the former Alabama senator “never took control of the Justice Department.”",the former Alabama senator “never took control of the Justice Department,train,781577820
96,Loaded_Language,731,741,"About seven hours later, the country’s top law enforcement officer fired back.",fired back,train,781577820
97,"Exaggeration,Minimisation",968,1028,"“I took control of the Department of Justice the day I was sworn in, which is why we have had unprecedented success at effectuating the President’s agenda — one that protects the safety and security and rights of the American people, reduces violent crime, enforces our immigration laws, promotes economic growth, and advances religious liberty,” the AG said in a statement.",unprecedented success at effectuating the President’s agenda,train,781577820
98,Flag-Waving,1031,1218,"“I took control of the Department of Justice the day I was sworn in, which is why we have had unprecedented success at effectuating the President’s agenda — one that protects the safety and security and rights of the American people, reduces violent crime, enforces our immigration laws, promotes economic growth, and advances religious liberty,” the AG said in a statement.","one that protects the safety and security and rights of the American people, reduces violent crime, enforces our immigration laws, promotes economic growth, and advances religious liberty",train,781577820
99,Flag-Waving,1476,1608,"“However, no nation has a more talented, more dedicated group of law enforcement investigators and prosecutors than the United States.”","However, no nation has a more talented, more dedicated group of law enforcement investigators and prosecutors than the United States",train,781577820
100,"Exaggeration,Minimisation",1485,1608,"“However, no nation has a more talented, more dedicated group of law enforcement investigators and prosecutors than the United States.”","no nation has a more talented, more dedicated group of law enforcement investigators and prosecutors than the United States",train,781577820
101,"Exaggeration,Minimisation",1642,1679,That last statement comes amid nearly constant complaints from Trump that Justice Department and FBI investigators are being unfair to the president and his allies.,nearly constant complaints from Trump,train,781577820
102,Loaded_Language,25,46,"Hungarian Prime Minister Hits Nail On The Head: Refugees Are Actually ""Muslim Invaders""",Hits Nail On The Head,train,721890296
103,Appeal_to_Authority,48,87,"Hungarian Prime Minister Hits Nail On The Head: Refugees Are Actually ""Muslim Invaders""","Refugees Are Actually ""Muslim Invaders""",train,721890296
104,"Name_Calling,Labeling",70,87,"Hungarian Prime Minister Hits Nail On The Head: Refugees Are Actually ""Muslim Invaders""","""Muslim Invaders""",train,721890296
105,Repetition,71,87,"Hungarian Prime Minister Hits Nail On The Head: Refugees Are Actually ""Muslim Invaders""","Muslim Invaders""",train,721890296
106,Repetition,168,183,Hungarian Prime Minister Viktor Orban doesn't mince words when it comes to the Muslim invasion in Europe and specifically to his own country.,Muslim invasion,train,721890296
107,Repetition,260,275,"Orban says there is not only Muslim invaders in the mix of ""refugees,"" but also “economic migrants"" seeking better lives for themselves.",Muslim invaders,train,721890296
108,Loaded_Language,560,579,"There are plenty of these people who are simply happy to have a place to live after many were driven from their homes due to the US, Russia and other countries putting their noses where they didn't belong and funding, training and arming Islamic jihadis there.",putting their noses,train,721890296
109,Loaded_Language,759,790,"Then, there are those who clearly come to the country to Islamasize the country because they have an Islamic dominionist attitude borne of the teachings of the Koran and Muhammad .",an Islamic dominionist attitude,train,721890296
110,Repetition,883,898,"Orban says there is not only Muslim invaders in the mix of ""refugees,"" but also “economic migrants"" seeking better lives for themselves.",Muslim invaders,train,721890296
111,Repetition,1322,1337,"Orban says there is not only Muslim invaders in the mix of ""refugees,"" but also “economic migrants"" seeking better lives for themselves.",Muslim invaders,train,721890296
112,Appeal_to_Authority,1825,1854,"He stressed though, that he can only speak for the Hungarians and they “don’t want” immigration.",they “don’t want” immigration,train,721890296
113,Loaded_Language,2091,2105,"And Orban has stayed the course, too while governments like that of Germany have ignored their people to allow for a clear invasion of Germany that has led to untold numbers of sexual assaults by Muslim migrants, attacks on Christians and there's no telling the amount of damage to the unethical welfare system in the country.",untold numbers,train,721890296
114,Loaded_Language,2109,2257,"And Orban has stayed the course, too while governments like that of Germany have ignored their people to allow for a clear invasion of Germany that has led to untold numbers of sexual assaults by Muslim migrants, attacks on Christians and there's no telling the amount of damage to the unethical welfare system in the country.","sexual assaults by Muslim migrants, attacks on Christians and there's no telling the amount of damage to the unethical welfare system in the country",train,721890296
115,Black-and-White_Fallacy,2456,2567,"“The reason why people are in your country is not because they are refugees, but because they want a German life,” he said, describing the issue “politically” as a European problem but, “sociologically,” as a German problem.","The reason why people are in your country is not because they are refugees, but because they want a German life",train,721890296
116,Loaded_Language,2817,2860,"“I’ve never understood how chaos, anarchy and illegal border crossings are viewed as something good in a country like Germany, which we view as the best example of discipline and the rule of law,” he said.","chaos, anarchy and illegal border crossings",train,721890296
117,"Exaggeration,Minimisation",2934,2986,"“I’ve never understood how chaos, anarchy and illegal border crossings are viewed as something good in a country like Germany, which we view as the best example of discipline and the rule of law,” he said.","the best example of discipline and the rule of law,”",train,721890296
118,Repetition,3053,3061,Hungarian Prime Minister Viktor Orban doesn't mince words when it comes to the Muslim invasion in Europe and specifically to his own country.,invasion,train,721890296
119,Appeal_to_Authority,3427,3477,"He called it an ""illusion"" and said that Christian and Muslim societies “will never unite.”",Christian and Muslim societies “will never unite.”,train,721890296
120,"Exaggeration,Minimisation",3501,3539,They have absolutely nothing in common.,They have absolutely nothing in common,train,721890296
121,Appeal_to_fear-prejudice,3541,3614,"They cannot agree on God's law, which most Western societies were base on, including the united States.","They cannot agree on God's law, which most Western societies were base on",train,721890296
122,Flag-Waving,3616,3643,"They cannot agree on God's law, which most Western societies were base on, including the united States.",including the united States,train,721890296
123,Repetition,3645,3662,"They cannot agree on God's law, which most Western societies were base on, including the united States.",They cannot agree,train,721890296
124,Repetition,3682,3702,"They cannot agree on God's law, which most Western societies were base on, including the united States.",They cannot agree on,train,721890296
125,Repetition,3895,3910,"Orban says there is not only Muslim invaders in the mix of ""refugees,"" but also “economic migrants"" seeking better lives for themselves.",Muslim invaders,train,721890296
126,Flag-Waving,3914,3947,He has publicly told the Muslim invaders to leave Hungary and never come back.,leave Hungary and never come back,train,721890296
127,Flag-Waving,4020,4064,"He has rebuffed Brussels, which is largely Islamic, and told them that Hungary would defend its borders, and it has.","Hungary would defend its borders, and it has",train,721890296
128,Flag-Waving,4122,4385,"He has genuinely reached out his hand to help Christian migrants instead of Muslim migrants and he seems to be one that holds to the Christian faith, as emulated by the Protestant Reformers, saying, ""That which serves the glory of God is the best for the people.""","He has genuinely reached out his hand to help Christian migrants instead of Muslim migrants and he seems to be one that holds to the Christian faith, as emulated by the Protestant Reformers, saying, ""That which serves the glory of God is the best for the people.""",train,721890296
129,"Name_Calling,Labeling",4429,4451,"Furthermore, Orban has also called out the man behind the curtain in a lot of the promoting of this Muslim invasion of the West, George Soros.",man behind the curtain,train,721890296
130,Repetition,4486,4501,Hungarian Prime Minister Viktor Orban doesn't mince words when it comes to the Muslim invasion in Europe and specifically to his own country.,Muslim invasion,train,721890296
131,Repetition,4661,4676,Hungarian Prime Minister Viktor Orban doesn't mince words when it comes to the Muslim invasion in Europe and specifically to his own country.,Muslim invasion,train,721890296
132,Repetition,4764,4779,"Orban says there is not only Muslim invaders in the mix of ""refugees,"" but also “economic migrants"" seeking better lives for themselves.",Muslim invaders,train,721890296
133,Repetition,4900,4918,"""Many, all too many, of them want to overwhelm German values, and European values in general, with sharia values.","Many, all too many",train,721890296
134,Appeal_to_fear-prejudice,4923,5011,"""Many, all too many, of them want to overwhelm German values, and European values in general, with sharia values.","them want to overwhelm German values, and European values in general, with sharia values",train,721890296
135,Loaded_Language,5013,5164,"They are in Europe to conquer and Islamize it, with willing and eager help from Europe’s short-sighted, self-serving, internationalist intelligentsia.""","They are in Europe to conquer and Islamize it, with willing and eager help from Europe’s short-sighted, self-serving, internationalist intelligentsia.""",train,721890296
136,Appeal_to_fear-prejudice,5032,5058,"They are in Europe to conquer and Islamize it, with willing and eager help from Europe’s short-sighted, self-serving, internationalist intelligentsia.""",to conquer and Islamize it,train,721890296
137,"Name_Calling,Labeling",5131,5162,"They are in Europe to conquer and Islamize it, with willing and eager help from Europe’s short-sighted, self-serving, internationalist intelligentsia.""",internationalist intelligentsia,train,721890296
138,Thought-terminating_Cliches,5165,5172,Indeed!,Indeed!,train,721890296
139,Loaded_Language,5173,5238,Thank you Prime Minister Orban for saying what needed to be said!,Thank you Prime Minister Orban for saying what needed to be said!,train,721890296
140,Repetition,365,382,"Now, a congressman is saying there is ""credible evidence"" of ""terrorist infiltration through the southern border"" that is related to the Las Vegas shooting.",credible evidence,train,723823436
141,Doubt,1581,1679,Why would the autopsy report be something that needs to be withheld from the public or his family?,Why would the autopsy report be something that needs to be withheld from the public or his family?,train,723823436
142,Repetition,1735,1752,"Now, a congressman is saying there is ""credible evidence"" of ""terrorist infiltration through the southern border"" that is related to the Las Vegas shooting.",credible evidence,train,723823436
143,Doubt,2061,2088,"""Something’s not adding up.""","Something’s not adding up.""",train,723823436
144,Thought-terminating_Cliches,3439,3458,"And even though Islamic jihadis have been apprehended on our border in 2014, the Homeland Security waved their hand and said, ""There's no threat.""","There's no threat.""",train,723823436
145,Doubt,3749,3902,What is surprising is the level of secrecy surrounding the Las Vegas shooting and the containment of information more than three months after it occurred.,What is surprising is the level of secrecy surrounding the Las Vegas shooting and the containment of information more than three months after it occurred,train,723823436
146,Loaded_Language,1438,1483,"What Cardinal Burke rightly describes as lacking in any magisterial weight whatsoever—and, in fact, in dire need of clarification and correction— has by papal fiat been declared magisterial, and thus binding on us all.",lacking in any magisterial weight whatsoever—,train,715790840
147,Appeal_to_Authority,1616,1846,Francis made it clear that the Argentine bishops’ interpretation of AL allowing public adulterers to receive Holy Communion “explains precisely the meaning of Chapter VIII of ‘Amoris Laetitia.’ There are no other interpretations.”,Francis made it clear that the Argentine bishops’ interpretation of AL allowing public adulterers to receive Holy Communion “explains precisely the meaning of Chapter VIII of ‘Amoris Laetitia.’ There are no other interpretations.”,train,715790840
148,Loaded_Language,1868,1907,I would imagine this outrageous overreach of papal authority on the Pope's part would make it ominously clear to Cardinal Burke that the time has come to issue his public correction of Pope Francis's erroneous teaching.,outrageous overreach of papal authority,train,715790840
149,Loaded_Language,1941,1956,I would imagine this outrageous overreach of papal authority on the Pope's part would make it ominously clear to Cardinal Burke that the time has come to issue his public correction of Pope Francis's erroneous teaching.,ominously clear,train,715790840
150,Loaded_Language,2134,2245,"Cardinal Burke, please and in God's Holy Name, we beg you to act now -- before Pope Francis succeeds in tearing the Church in half completely.","God's Holy Name, we beg you to act now -- before Pope Francis succeeds in tearing the Church in half completely",train,715790840
